st_name,year,ac_no,ac_name,ac_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Maharashtra,1990.0,109,,GEN,Menkar Prabhakar Tulshiram,M,Akhil Bharatiya Maratha Mahasangha,MMS,17649.0,141642
Maharashtra,1995.0,115,,GEN,Deshmukh Dr. Vijay Manoharrao,M,Samajwadi Janata Party (Maharashtra),SJP(M),732.0,167228
Maharashtra,1995.0,192,,GEN,Dixit Sham Bhaskar,M,Doordarshi Party,DDP,367.0,204986
Maharashtra,2014.0,208,Vadgaon Sheri,GEN,Dr.Dhende Siddharth Yashwant,M,RPI(A),RPI(A),9247.0,409772
Maharashtra,2004.0,177,Singnapur,GEN,Shisodiya Deepaksingh Uttamrao,M,Independent,IND,783.0,176125
Maharashtra,1990.0,123,,GEN,Abdul Hannan Harun Rashid,M,Independents,IND,127.0,134172
Maharashtra,1995.0,89,,GEN,Babu Munir Pinjari,M,Independent,IND,126.0,216991
Maharashtra,1995.0,150,,GEN,Kute Pramila Premraj,F,Indian National Congress,INC,29159.0,175592
Maharashtra,2014.0,57,Nagpur North,SC,Raut Buddham,M,IND,IND,409.0,338120
Maharashtra,2009.0,53,Nagpur South,GEN,Panchbudhe Yupkumar Madhukar,M,RJD,RJD,836.0,329096
Maharashtra,1995.0,228,,GEN,Shelar Ghanshaym Prataprao,M,Bharatiya Janata Party,BJP,33620.0,189936
Maharashtra,1980.0,70,,GEN,Pagare Yadav Ganpat,M,Independents,IND,460.0,115624
Maharashtra,2009.0,77,Ralegaon,ST,Ramdas Govinda Aatram,M,IND,IND,725.0,242260
Maharashtra,1995.0,90,,SC,Ghule Prakash Dattatrya,M,Maharashtra Vikas Congress,MVC,2438.0,200190
Maharashtra,1985.0,150,,GEN,Govindrao Krishnaji Brahmankar,M,Independent,IND,1813.0,131221
Maharashtra,1985.0,235,,GEN,Bhrud Sampatrao Jamanrao,M,Republican Party Of India,RPI,1141.0,115838
Maharashtra,1980.0,239,,ST,Gabhale Maruti Dagadu,M,Independents,IND,763.0,125218
Maharashtra,2004.0,128,Pulgaon,GEN,Nitnaware Pramod Harish,M,Peoples Republican Party,PRBP,203.0,213009
Maharashtra,1990.0,87,,GEN,Deore Dhanraj Motiram,M,Independents,IND,233.0,128555
Maharashtra,1990.0,181,,GEN,Chaudhari Lotu Pundlik,M,Doordarshi Party,DDP,1793.0,168479
Maharashtra,2009.0,108,Aurangabad West,SC,Pathare Vilas Suresh,M,IND,IND,332.0,238747
Maharashtra,2014.0,230,Beed,GEN,Dhande Sunil Suryabhan,M,MNS,MNS,2184.0,291514
Maharashtra,2009.0,2,Shahada,ST,Savitri Magan Padvi,F,RWS,RWS,755.0,257248
Maharashtra,1995.0,217,,GEN,Shete Saraswati Shankar,F,Janata Dal,JD,548.0,106616
Maharashtra,1995.0,171,,GEN,Kamble Kamalbai Bhagwanrao,F,Independent,IND,291.0,176979
Maharashtra,2004.0,154,Rajura,GEN,Murlidhar Keshavrao Alam,M,Janata Dal (Secular),JD(S),1736.0,239726
Maharashtra,2014.0,129,Vikramgad ,ST,Bharat Pandurag Hajare,M,MNS,MNS,4743.0,246431
Maharashtra,1990.0,205,,SC,Avinash Madhavrao Bolegave,M,Independents,IND,2495.0,133816
Maharashtra,2014.0,24,Sindkhed Raja,GEN,Namdeo Dagadu Rathod (Mantri),M,IND,IND,532.0,284006
Maharashtra,1978.0,136,,GEN,Toksiya Navalchand Girdharilal,M,Independent,IND,873.0,104718
Maharashtra,1995.0,189,,GEN,Banekha Nurkha,M,Janata Dal,JD,23333.0,167468
Maharashtra,1999.0,85,,GEN,Rajput Sangramsiha Hasarsiha,M,Bharatiya Janata Party,BJP,15569.0,182883
Maharashtra,1985.0,48,,GEN,Leeladhar B. Dake,M,Independent,IND,7697.0,140293
Maharashtra,1995.0,43,,GEN,Lalji Gopal Or Babubhai Gala,M,Independent,IND,962.0,458510
Maharashtra,2014.0,172,Anushakti Nagar,GEN,None Of The Above,,NOTA,NOTA,1577.0,289188
Maharashtra,2014.0,89,Naigaon,GEN,None Of The Above,,NOTA,NOTA,1277.0,280093
Maharashtra,1995.0,173,,GEN,Jabbarsab Hamidsab,M,Independent,IND,548.0,195477
Maharashtra,1999.0,121,,GEN,Arun Warghat,M,Bahujan Samaj Party,BSP,1726.0,174211
Maharashtra,2009.0,35,Karanja,GEN,Sawake Ramkrushana Pundlikrao,M,IND,IND,2126.0,249933
Maharashtra,1980.0,120,,GEN,Arvind Rambhausa Bahekar,M,Independents,IND,291.0,113917
Maharashtra,1995.0,108,,GEN,Nagpure Gokarnabai Ram,F,Independent,IND,149.0,163193
Maharashtra,1980.0,187,,GEN,Batheja Ghanshamdas Shriramchand,M,Janata Party (Secular) - Ch. Charan Singh,JNP(SC),581.0,121122
Maharashtra,2014.0,96,Parbhani ,GEN,Syad Khalad Syad Sahebjan,M,AIMIM,AIMIM,45058.0,278377
Maharashtra,1980.0,49,,GEN,Celine D. Silva,F,Indian National Congress (I),INC(I),22383.0,168776
Maharashtra,1995.0,179,,GEN,S. Karamat Husain Urf Javed Vilayat Hussain,M,Janata Dal,JD,14883.0,182235
Maharashtra,1985.0,68,,SC,Nikam Rambhau Sampat,M,Independent,IND,56.0,143560
Maharashtra,2009.0,273,Kagal,GEN,Awate Mahesh Maruti,M,IND,IND,823.0,278710
Maharashtra,1995.0,125,,GEN,Solanke Gulab Vishram,M,Independent,IND,47.0,193270
Maharashtra,2004.0,124,Amravati,GEN,Jagdish Gupta,M,Bharatiya Janata Party,BJP,49435.0,267557
Maharashtra,2014.0,70,Rajura,GEN,Dhote Subhash Ramchandrrao,M,INC,INC,63945.0,296699
Maharashtra,1995.0,45,,GEN,Mnjulabay Ramesh Patel,F,Independent,IND,1629.0,485826
Maharashtra,2009.0,223,Rahuri,GEN,Dnyaneshwar Dattatraya Gade,M,MNS,MNS,2474.0,240008
Maharashtra,1999.0,170,,GEN,Abdul Samad A. Karim,M,Independent,IND,41980.0,288795
Maharashtra,2014.0,219,Kopargaon,GEN,Tribhuvan Madhav Sakharam,M,BSP,BSP,993.0,245756
Maharashtra,1995.0,216,,GEN,Sayyad Jabimiya Abdul Gafur,M,Independent,IND,57.0,161099
Maharashtra,1995.0,5,,GEN,Appa Alias Vijayrao Salvi,M,Shivsena,SHS,58550.0,135879
Maharashtra,2009.0,90,Deglur,SC,Patil Jagirdar Aruna Dhondiba,F,IND,IND,610.0,253801
Maharashtra,1995.0,269,,GEN,Kambale Shamrao,M,Republican Party Of India,RPI,498.0,184768
Maharashtra,1985.0,129,,GEN,Shekh Kalam Shekh Rashid,M,Republican Party Of India (Khobragade),RPK,8130.0,132733
Maharashtra,1985.0,158,,GEN,Bagde Bhujangrao Mukundrao,M,Indian National Congress,INC,45235.0,135351
Maharashtra,2004.0,142,Tumsar,GEN,Thawkar Lalji Kothiji,M,Independent,IND,534.0,154858
Maharashtra,2014.0,97,Gangakhed,GEN,Munde Shyamsundar Raghunathrao,M,IND,IND,905.0,365115
Maharashtra,1985.0,175,,GEN,Ishwarrao Naryanrao Bhosikar,M,Indian National Congress,INC,30732.0,136855
Maharashtra,2009.0,224,Parner,GEN,Jagdale Murlidhar Kisan,M,IND,IND,1126.0,263287
Maharashtra,1995.0,145,,SC,Ramteke Nandlal Abhiman,M,Independent,IND,76.0,147927
Maharashtra,1995.0,233,,GEN,Kale Yeshwant Rambhau,M,Independent,IND,1599.0,141859
Maharashtra,2009.0,57,Nagpur North,SC,Sangole Manoj Dashrath,M,IND,IND,3111.0,322158
Maharashtra,1995.0,50,,GEN,Ashok Sonawane (Lakhamapurkar),M,Independent,IND,285.0,215993
Maharashtra,2009.0,280,Shirol,GEN,Appasaheb Alias Satgonda Revgonda Patil,M,INC,INC,85941.0,255072
Maharashtra,2014.0,55,Nagpur Central,GEN,Amit Ashok Bansod,M,APOI,APOI,125.0,292716
Maharashtra,1990.0,248,,SC,Karandr Ramchandra Narayan,M,Independents,IND,104.0,256391
Maharashtra,1995.0,55,,GEN,Bhambani Satish Shamlal,M,Independent,IND,192.0,399597
Maharashtra,1995.0,136,,GEN,Yashwant Sadashivrao Badge,M,Independent,IND,160.0,156082
Maharashtra,1978.0,260,,GEN,Jadhav Bapurao Anandrao,M,Independent,IND,1809.0,99590
Maharashtra,2014.0,245,Madha,GEN,Sawant Shivaji Jaywant,M,SHS,SHS,40616.0,296816
Maharashtra,1990.0,14,,GEN,Padwal Harischandra Pandurang,M,Shivsena,SHS,22171.0,146455
Maharashtra,1990.0,142,,GEN,Kawale Bhojraj Chindhu,M,Doordarshi Party,DDP,330.0,136109
Maharashtra,1999.0,50,,GEN,Pratap Jitendra Makwana,M,Bahujan Samaj Party,BSP,724.0,222426
Maharashtra,1978.0,242,,GEN,Bachche Namdev Krishna,M,Janata Party,JNP,14393.0,114134
Maharashtra,1995.0,168,,GEN,Pachpute Kishanrao Champatrao,M,Indian National Congress,INC,14395.0,149071
Maharashtra,1978.0,273,,GEN,Khade Shikru Babaji,M,Indian National Congress (I),INC(I),1595.0,99737
Maharashtra,2004.0,110,Borgaon Manju,GEN,Ganesh Shravanji Pote,M,Independent,IND,2017.0,275854
Maharashtra,2004.0,135,Nagpur South,GEN,Govindrao Marotrao Wanjari,M,Indian National Congress,INC,44551.0,232432
Maharashtra,1995.0,49,,GEN,Shek Mustaq Ahmad,M,Independent,IND,208.0,408053
Maharashtra,2004.0,194,Aurangabad East,GEN,Bhole Madhukarrao Shanker Rao,M,Bahujan Samaj Party,BSP,3810.0,295409
Maharashtra,1978.0,206,,GEN,Gomare Manoharrao Eknathrao,M,Janata Party,JNP,36806.0,125682
Maharashtra,1990.0,214,,GEN,Patil Parmoshwar Yashwantaro,M,Janata Dal,JD,3574.0,135664
Maharashtra,2014.0,104,Sillod,GEN,Aalne Dadarao Shriram,M,BSP,BSP,1749.0,278474
Maharashtra,1990.0,167,,GEN,Renge Anandrao Digember,M,Independents,IND,33.0,151310
Maharashtra,1990.0,250,,GEN,More Raju Ashok (Vasant),M,Independents,IND,34.0,161438
Maharashtra,1995.0,40,,GEN,Yadav Kamalkant,M,Janata Party,JP,1096.0,245944
Maharashtra,1990.0,212,,GEN,Narayan Ganapati Hakke,M,Independents,IND,1942.0,160956
Maharashtra,1985.0,287,,GEN,Kazi Akabar Dadamiya,M,Independent,IND,455.0,116057
Maharashtra,1985.0,141,,GEN,Kimmatkar Madhukar Ghanshamrao,M,Indian National Congress,INC,36157.0,135771
Maharashtra,2004.0,260,Khatav,GEN,Shri Dilip Muralidhar Yelgaonkar,M,Bharatiya Janata Party,BJP,76435.0,191961
Maharashtra,2014.0,166,Andheri East,GEN,Dalvi Sandeep Sitaram,M,MNS,MNS,9420.0,286282
Maharashtra,1990.0,107,,GEN,Dilshadsha Bismillasha,M,Independents,IND,147.0,170354
Maharashtra,1999.0,208,,GEN,Shinde Suresh Namdeo,M,Akhil Bharatiya Sena,ABHS,2017.0,164312
Maharashtra,2009.0,145,Mira Bhayandar,GEN,Ramchandra Vasudeo Sharma,M,IND,IND,825.0,328354
Maharashtra,1980.0,64,,ST,Kom Lahanu Shidwa,M,Communist Party Of India (Marxist),CPM,25671.0,118765
Maharashtra,1995.0,188,,GEN,Kailash Laximan Jagtap,M,Independent,IND,1307.0,185658
Maharashtra,1999.0,101,,GEN,Suryavanshi Raju Bhagwat,M,Independent,IND,395.0,174341
Maharashtra,1995.0,125,,GEN,Chandrashekhar Purushottam Deshmukh,M,Independent,IND,1365.0,193270
Maharashtra,2009.0,104,Sillod,GEN,Pardhe Prabhakar Sandu,M,BSP,BSP,2739.0,251080
Maharashtra,1995.0,52,,GEN,Advocate Jagatap Baburao Revaji,M,Republican Party Of India,RPI,1040.0,313022
Maharashtra,1990.0,51,,GEN,Tiwari Soreschandra Banawari,M,Doordarshi Party,DDP,336.0,264268
Maharashtra,1978.0,205,,SC,Shinde Narayan Gyamba,M,Independent,IND,332.0,91796
Maharashtra,1995.0,167,,GEN,Nagorao Tukaram Kadam,M,Independent,IND,266.0,175300
Maharashtra,1990.0,144,,GEN,Akre Gautamkumar Asaram,M,Independents,IND,869.0,144594
Maharashtra,1980.0,226,,GEN,Zanpure P. V.,M,Independents,IND,14157.0,91510
